trait,label,uuid,count,mean,std
A,high,0.0,20,0.361065,0.1506641901189879
A,high,0.1,20,0.366185,0.12175157310126049
A,high,0.2,20,0.411625,0.20263320732428414
A,high,0.3,20,0.36019999999999996,0.10884296752178052
A,high,0.4,20,0.365315,0.0774379226763028
A,high,0.5,20,0.386585,0.12262542998476038
A,high,0.6,20,0.37677,0.0862492111329294
A,high,0.7,20,0.37041,0.07442126111040552
A,high,0.8,20,0.342675,0.09395006442394364
A,high,0.9,20,0.39356,0.1717111325821118
A,high,1.0,20,0.41718500000000003,0.19048006740587678
A,low,0.0,20,0.365345,0.1653926666578979
A,low,0.1,20,0.392865,0.13019932603512202
A,low,0.2,20,0.45395,0.188668033439969
A,low,0.3,20,0.498255,0.20118095932452665
A,low,0.4,20,0.522725,0.20432178149853936
A,low,0.5,20,0.368195,0.11911345089539857
A,low,0.6,20,0.38305500000000003,0.14177160830382304
A,low,0.7,20,0.38326000000000005,0.11444463336156555
A,low,0.8,20,0.32368,0.09913430337306638
A,low,0.9,20,0.34765999999999997,0.15588315259564742
A,low,1.0,20,0.33816999999999997,0.09260407573160731
C,high,0.0,20,0.6614899999999999,0.12392899027902611
C,high,0.1,20,0.5998249999999999,0.12832872622170072
C,high,0.2,20,0.6079600000000001,0.09387891641560646
C,high,0.3,20,0.6613450000000001,0.11210883563000638
C,high,0.4,20,0.5814,0.090345378234977
C,high,0.5,20,0.608545,0.07965810808832031
C,high,0.6,20,0.628405,0.08810166660111908
C,high,0.7,20,0.614335,0.06393924151304235
C,high,0.8,20,0.595675,0.0643431661197659
C,high,0.9,20,0.631525,0.08947132369177231
C,high,1.0,20,0.596605,0.06067490138347764
C,low,0.0,20,0.639705,0.09918793684611793
C,low,0.1,20,0.63193,0.188356613341485
C,low,0.2,20,0.616345,0.09809247234920197
C,low,0.3,20,0.6762349999999999,0.0927982263612267
C,low,0.4,20,0.64558,0.09464149863119187
C,low,0.5,20,0.6597999999999999,0.12543370654191044
C,low,0.6,20,0.59569,0.10719034176837507
C,low,0.7,20,0.610105,0.0614376318331294
C,low,0.8,20,0.62405,0.11307841015023716
C,low,0.9,20,0.640595,0.11893241988625308
C,low,1.0,20,0.59712,0.06573679254981063
E,high,0.0,20,0.5041450000000001,0.15024423791385738
E,high,0.1,20,0.49368999999999996,0.129887829744705
E,high,0.2,20,0.465105,0.11237416576588655
E,high,0.3,20,0.45362,0.11436363334372926
E,high,0.4,20,0.526165,0.12974632851513718
E,high,0.5,20,0.519855,0.13101883944484352
E,high,0.6,20,0.5583600000000001,0.11079636798151253
E,high,0.7,20,0.51281,0.09511483308971429
E,high,0.8,20,0.5307000000000001,0.0703321742649984
E,high,0.9,20,0.505445,0.09720357084084169
E,high,1.0,20,0.546225,0.12076686925861045
E,low,0.0,20,0.379195,0.08977696032537054
E,low,0.1,20,0.45378999999999997,0.14797955370857652
E,low,0.2,20,0.375205,0.12158547123644942
E,low,0.3,20,0.43455000000000005,0.0900079733310216
E,low,0.4,20,0.47674000000000005,0.11525704636525311
E,low,0.5,20,0.48402,0.09829729128355577
E,low,0.6,20,0.5057,0.0709701864758791
E,low,0.7,20,0.50731,0.10608509940509775
E,low,0.8,20,0.47070999999999996,0.09477023127988084
E,low,0.9,20,0.46272,0.06894215424237154
E,low,1.0,20,0.508685,0.11069424591616027
N,high,0.0,20,0.48123000000000005,0.1519105141713024
N,high,0.1,20,0.5124299999999999,0.11054842758766524
N,high,0.2,20,0.48728,0.1514300554190301
N,high,0.3,20,0.49228500000000003,0.11788430222267218
N,high,0.4,20,0.558605,0.15375438538889152
N,high,0.5,20,0.556705,0.10716897859774631
N,high,0.6,20,0.541005,0.17955799378356552
N,high,0.7,20,0.5978749999999999,0.17168597366305607
N,high,0.8,20,0.5430849999999999,0.13037510367357233
N,high,0.9,20,0.54813,0.1829588538730124
N,high,1.0,20,0.58121,0.10634973535710522
N,low,0.0,20,0.486725,0.10766615494691278
N,low,0.1,20,0.40940000000000004,0.11908423820755493
N,low,0.2,20,0.46620999999999996,0.15329619042885573
N,low,0.3,20,0.48009500000000005,0.095889577255903
N,low,0.4,20,0.453,0.08023131689388076
N,low,0.5,20,0.46377500000000005,0.12785872497655992
N,low,0.6,20,0.50631,0.14557306322545427
N,low,0.7,20,0.5081249999999999,0.13350749584711868
N,low,0.8,20,0.46640499999999996,0.08755699181555675
N,low,0.9,20,0.50424,0.11419097300482851
N,low,1.0,20,0.54469,0.10160271390904975
O,high,0.0,20,0.37424999999999997,0.1276439517605618
O,high,0.1,20,0.46777499999999994,0.08004194870586034
O,high,0.2,20,0.37864,0.12142772335838302
O,high,0.3,20,0.34535,0.09425234605484421
O,high,0.4,20,0.422875,0.09671697110641958
O,high,0.5,20,0.43942,0.11829695284592742
O,high,0.6,20,0.48398,0.12609766306945958
O,high,0.7,20,0.403935,0.12132063336031254
O,high,0.8,20,0.456835,0.1067947331394006
O,high,0.9,20,0.472035,0.12784376268670575
O,high,1.0,20,0.45933,0.1170468826446997
O,low,0.0,20,0.350725,0.09440585884472705
O,low,0.1,20,0.37194,0.1287838965088415
O,low,0.2,20,0.33479000000000003,0.09698766009408782
O,low,0.3,20,0.296705,0.1515786142220389
O,low,0.4,20,0.3931,0.10015940452992655
O,low,0.5,20,0.43735,0.10034783977429919
O,low,0.6,20,0.455615,0.09202707424848863
O,low,0.7,20,0.39571,0.10547144238083944
O,low,0.8,20,0.467185,0.10820069206413557
O,low,0.9,20,0.449445,0.13432174834682345
O,low,1.0,20,0.49637000000000003,0.09840704457025744
